slug	model	in_tokens	out_tokens	est_usd	request_id
dial-rose-v2	arrow-2-telos	478	4112	0.1262	svg-74d660e5db3a4f4b8dd42cea5e7a7eb7
dial-rose-petals	arrow-2-telos	478	4005	0.1230	svg-c0f051da4ece4b66aac8806280e4003c
rosary-wave	arrow-2-telos	478	3578	0.1102	svg-40ef83cb272340459106b45dec757747
rosary-turns	arrow-2-telos	478	3446	0.1062	svg-27b645643eed42ef8d585d52acbb62c8
rose-topdown-v2	arrow-2-telos	478	4589	0.1405	svg-9963cb79dd7b4e2b9a8ad419e15e237f
rose-window-dial	arrow-2-telos	478	9318	0.2824	svg-0334b0b2c6ce4527b971c5d15c6f2081
monogram-r-beads	arrow-2-telos	478	2026	0.0636	svg-50c9f15348834b9fab4ccb77d1799b62
rosary-r-v2	arrow-2-telos	478	2980	0.0923	svg-3b6e2cf8415546eda1e27d4947847dd5
