slug	model	in_tokens	out_tokens	est_usd	request_id
hair-spiral	arrow-2-telos	478	2750	0.0854	svg-bf63f53d71104aafa1ecee7895b78aab
hair-moire	arrow-2-telos	478	2381	0.0743	svg-4105009c41864caaa249f755ff01403b
hair-dial-rose	arrow-2-telos	478	3956	0.1215	svg-a47b40059e6f4261ac1d36c804f98b3b
hair-wave-rose	arrow-2-telos	478	2215	0.0693	svg-303963b6e80942d48df6832cf873ad50
hair-r	arrow-2-telos	477	2148	0.0673	svg-a5ee8a7f065f4d7c8473277941865c4d
mono-rosary-r	arrow-2-telos	478	2297	0.0718	svg-2cbd0657d7c84327b1f355606dbff128
mono-bud-stem	arrow-2-telos	478	2474	0.0771	svg-2665aa29df17462d913cb207a89e340b
mono-rose-open	arrow-2-telos	477	2648	0.0823	svg-3faee4824f0947fa9b1f2887e3a750cc
mono-handset-loop	arrow-2-telos	477	2947	0.0913	svg-1c3ddb96307d4b83ac1e7917136f15c8
abstract-turns	arrow-2-telos	477	2469	0.0769	svg-af3a72c158c44895a418f407583ceafb
abstract-dial-slice	arrow-2-telos	477	1878	0.0592	svg-4a3f086adb084597bc6f02625baf4c00
abstract-bead-arc	arrow-2-telos	477	1935	0.0609	svg-69d9c6d9ff4a4366bfabb13a776ca4c5
petal-dot-ring	arrow-2-telos	478	3850	0.1184	svg-1edcea373593429daa8dbe8e75596c44
rosette-thin	arrow-2-telos	477	3871	0.1190	svg-cd0eb2b6169244798d2246af18238e3e
knot-rose-thin	arrow-2-telos	477	4917	0.1504	svg-15c40458b55a43ceaafa48a62f0f0937
rose-cutout-circle	arrow-2-telos	477	3328	0.1027	svg-f95ce6256e4d49328cb75756f3849691
